,gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
0,XOR,1,3,0,[28],0.01,0.001,2,,0.0,0.0001,0.0
1,XOR,1,3,1,[85],0.01,0.001,2,,0.0,0.0001,0.0
2,XOR,1,3,2,[72],0.01,0.001,2,,0.0,0.0001,0.0
3,XOR,1,3,3,[114],0.01,0.001,2,,0.0,0.0001,0.0
4,XOR,1,3,4,[52],0.01,0.001,2,,0.0,0.0001,0.0
5,XOR,1,3,5,[28],0.01,0.001,2,,0.0,0.0001,0.0
6,XOR,1,3,6,[13],0.01,0.001,2,,0.0,0.0001,0.0
7,XOR,1,3,7,[61],0.01,0.001,2,,0.0,0.0001,0.0
8,XOR,1,3,8,[60],0.01,0.001,2,,0.0,0.0001,0.0
9,XOR,1,3,9,[13],0.01,0.001,2,,0.0,0.0001,0.0
10,XOR,1,3,10,[37],0.01,0.001,2,,0.0,0.0001,0.0
11,XOR,1,3,11,[83],0.01,0.001,2,,0.0,0.0001,0.0
12,XOR,1,3,12,[16],0.01,0.001,2,,0.0,0.0001,0.0
13,XOR,1,3,14,[26],0.01,0.001,2,,0.0,0.0001,0.0
14,XOR,1,3,15,[81],0.01,0.001,2,,0.0,0.0001,0.0
15,XOR,1,3,16,[44],0.01,0.001,2,,0.0,0.0001,0.0
16,XOR,1,3,17,[166],0.01,0.001,2,,0.0,0.0001,0.0
17,XOR,1,3,18,[50],0.01,0.001,2,,0.0,0.0001,0.0
18,XOR,1,3,19,[78],0.01,0.001,2,,0.0,0.0001,0.0
19,XOR,1,3,20,[66],0.01,0.001,2,,0.0,0.0001,0.0
20,XOR,1,3,21,[24],0.01,0.001,2,,0.0,0.0001,0.0
21,XOR,1,3,22,[68],0.01,0.001,2,,0.0,0.0001,0.0
22,XOR,1,3,23,[26],0.01,0.001,2,,0.0,0.0001,0.0
23,XOR,1,3,24,[78],0.01,0.001,2,,0.0,0.0001,0.0
24,XOR,1,3,25,[72],0.01,0.001,2,,0.0,0.0001,0.0
25,XOR,1,3,26,[85],0.01,0.001,2,,0.0,0.0001,0.0
26,XOR,1,3,27,[29],0.01,0.001,2,,0.0,0.0001,0.0
27,XOR,1,3,28,[33],0.01,0.001,2,,0.0,0.0001,0.0
28,XOR,1,3,29,[18],0.01,0.001,2,,0.0,0.0001,0.0
29,XOR,1,3,30,[9],0.01,0.001,2,,0.0,0.0001,0.0
30,XOR,1,3,32,[103],0.01,0.001,2,,0.0,0.0001,0.0
31,XOR,1,3,33,[8],0.01,0.001,2,,0.0,0.0001,0.0
32,XOR,1,3,34,[78],0.01,0.001,2,,0.0,0.0001,0.0
