gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
XOR,1,3,0,[28],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,1,[85],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,2,[72],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,3,[114],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,4,[52],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,5,[28],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,6,[13],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,7,[61],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,8,[60],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,9,[13],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,10,[37],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,11,[83],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,12,[16],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,13,[65],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,14,[26],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,15,[81],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,16,[44],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,17,[166],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,18,[50],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,19,[78],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,20,[66],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,21,[24],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,22,[68],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,23,[26],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,24,[78],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,25,[72],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,26,[85],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,27,[29],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,28,[33],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,29,[18],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,30,[9],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,32,[103],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,33,[8],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,34,[78],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,35,[55],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,36,[60],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,37,[26],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,38,[27],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,39,[22],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,40,[19],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,41,[52],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,42,[12],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,43,[35],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,44,[32],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,45,[52],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,46,[52],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,47,[126],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,48,[18],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,49,[167],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,50,[22],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,52,[45],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,53,[85],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,54,[52],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,55,[35],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,56,[1],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,57,[59],0.01,0.001,2,,0.0,0.0001,0.0
XOR,1,3,58,[107],0.01,0.001,2,,0.0,0.0001,0.0
