epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.2786549996584654,0.25027504563331604,0.001,0.0,0.0
2,[0],[0.0],0,0.2613497354090214,0.24195478856563568,0.001,0.0,0.0
3,[0],[0.0],0,0.2521085079759359,0.23839130997657776,0.001,0.0,0.0
4,[0],[0.0],0,0.24584636986255645,0.23460344970226288,0.001,0.0,0.0
5,[0],[0.0],0,0.23898278176784515,0.22916744649410248,0.001,0.0,0.0
6,[0],[0.0],0,0.23044093251228331,0.22195501625537872,0.001,0.0,0.0
7,[0],[0.0],0,0.21977724134922028,0.212975412607193,0.001,0.0,0.0
8,[0],[0.0],0,0.2070023838430643,0.20221276581287384,0.001,0.0,0.0
9,[0],[0.0],0,0.19259401597082615,0.19038210809230804,0.001,0.0,0.0
10,[0],[0.0],0,0.17779999300837518,0.17907404899597168,0.001,0.0,0.0
11,[0],[0.0],0,0.16433889754116535,0.16887395083904266,0.001,0.0,0.0
12,[0],[0.0],0,0.1535805393010378,0.16173353791236877,0.001,0.0,0.0
13,[0],[0.0],0,0.14509777612984182,0.15342079102993011,0.001,0.0,0.0
14,[0],[0.0],0,0.1348239317536354,0.141694113612175,0.001,0.0,0.0
15,[0],[0.0],0,0.12171280793845654,0.12636104226112366,0.001,0.0,0.0
16,[106],[np.float64(0.17610062893081763)],106,0.10683000981807708,0.10841073840856552,0.001,0.0,0.0
17,[106],[np.float64(0.17610062893081763)],106,0.09115060772746801,0.09063214063644409,0.001,0.0,0.0
18,[84],[np.float64(0.17460317460317457)],84,0.07545688282698393,0.07191836833953857,0.001,0.0,0.0
19,[84],[np.float64(0.17460317460317457)],84,0.06052220473065972,0.05460044741630554,0.001,0.0,0.0
20,[92],[np.float64(0.17391304347826084)],92,0.04694222388789058,0.039155103266239166,0.001,0.0,0.0
21,[60],[np.float64(0.17777777777777773)],60,0.03565943548455834,0.026396891102194786,0.001,0.0,0.0
22,[30],[np.float64(0.17777777777777784)],30,0.026758210780099035,0.01668005995452404,0.001,0.0,0.0
23,[30],[np.float64(0.17777777777777784)],30,0.020450540259480475,0.010729031637310982,0.001,0.0,0.0
24,[30],[np.float64(0.17777777777777784)],30,0.017131355637684465,0.007824822328984737,0.001,0.0,0.0
25,[15],[np.float64(0.17777777777777773)],15,0.01522729261778295,0.005700387991964817,0.001,0.0,0.0
26,[15],[np.float64(0.17777777777777773)],15,0.013858823361806572,0.004078586585819721,0.001,0.0,0.0
27,[15],[np.float64(0.17777777777777773)],15,0.01284504432696849,0.0028614774346351624,0.001,0.0,0.0
28,[15],[np.float64(0.17777777777777773)],15,0.012104334984906017,0.002013842575252056,0.001,0.0,0.0
29,[15],[np.float64(0.17777777777777773)],15,0.011573687498457729,0.0013874785508960485,0.001,0.0,0.0
30,[15],[np.float64(0.17777777777777773)],15,0.011193641950376332,0.0009609013795852661,0.001,0.0,0.0
31,[15],[np.float64(0.17777777777777773)],15,0.010929175303317606,0.0006559076718986034,0.001,0.0,0.0
32,[15],[np.float64(0.17777777777777773)],15,0.01074229923542589,0.00044668567716144025,0.001,0.0,0.0
33,[15],[np.float64(0.17777777777777773)],15,0.010611918312497437,0.00030490857898257673,0.001,0.0,0.0
34,[15],[np.float64(0.17777777777777773)],15,0.010521446308121084,0.0002050857583526522,0.001,0.0,0.0
35,[15],[np.float64(0.17777777777777773)],15,0.01045676190406084,0.00013929593842476606,0.001,0.0,0.0
36,[15],[np.float64(0.17777777777777773)],15,0.010411252733319998,9.507402864983305e-05,0.001,0.0,0.0
37,[15],[np.float64(0.17777777777777773)],15,0.01037771210540086,6.637904880335554e-05,0.001,0.0,0.0
38,[15],[np.float64(0.17777777777777773)],15,0.010352240409702063,4.734374670078978e-05,0.001,0.0,0.0
39,[15],[np.float64(0.17777777777777773)],15,0.010331866960041226,3.472500975476578e-05,0.001,0.0,0.0
40,[15],[np.float64(0.17777777777777773)],15,0.010314766177907586,2.6382145733805373e-05,0.001,0.0,0.0
41,[15],[np.float64(0.17777777777777773)],15,0.01029945646878332,2.1111327441758476e-05,0.001,0.0,0.0
42,[15],[np.float64(0.17777777777777773)],15,0.010285097826272249,1.829672692110762e-05,0.001,0.0,0.0
43,[15],[np.float64(0.17777777777777773)],15,0.010271177184768021,1.6522872101631947e-05,0.001,0.0,0.0
44,[15],[np.float64(0.17777777777777773)],15,0.010256860591471195,1.5753370462334715e-05,0.001,0.0,0.0
