epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.5277980670332909,0.42530688643455505,0.001,0.0,0.0
2,[0],[0.0],0,0.45659566298127174,0.37229084968566895,0.001,0.0,0.0
3,[0],[0.0],0,0.40325361788272857,0.3352012634277344,0.001,0.0,0.0
4,[0],[0.0],0,0.370119409263134,0.3155398964881897,0.001,0.0,0.0
5,[0],[0.0],0,0.34712694510817527,0.29609403014183044,0.001,0.0,0.0
6,[0],[0.0],0,0.32522662580013273,0.28031477332115173,0.001,0.0,0.0
7,[0],[0.0],0,0.30889173969626427,0.2710300087928772,0.001,0.0,0.0
8,[0],[0.0],0,0.2979506976902485,0.26390549540519714,0.001,0.0,0.0
9,[0],[0.0],0,0.28882293589413166,0.2584194540977478,0.001,0.0,0.0
10,[0],[0.0],0,0.28133055567741394,0.2542671859264374,0.001,0.0,0.0
11,[0],[0.0],0,0.27532448396086695,0.2511768937110901,0.001,0.0,0.0
12,[0],[0.0],0,0.27035716474056243,0.2483544647693634,0.001,0.0,0.0
13,[0],[0.0],0,0.2654353234916925,0.24530446529388428,0.001,0.0,0.0
14,[0],[0.0],0,0.2611619357019663,0.24299564957618713,0.001,0.0,0.0
15,[0],[0.0],0,0.25774940811097624,0.24110786616802216,0.001,0.0,0.0
16,[0],[0.0],0,0.2544062573462725,0.236652210354805,0.001,0.0,0.0
17,[0],[0.0],0,0.2477069456130266,0.22683243453502655,0.001,0.0,0.0
18,[0],[0.0],0,0.23887506797909736,0.21568961441516876,0.001,0.0,0.0
19,[0],[0.0],0,0.2294052302837372,0.20404009521007538,0.001,0.0,0.0
20,[0],[0.0],0,0.21999531909823417,0.19281892478466034,0.001,0.0,0.0
21,[0],[0.0],0,0.21047261096537112,0.1807740032672882,0.001,0.0,0.0
22,[40],[np.float64(0.16666666666666666)],40,0.1974818456918001,0.1637573093175888,0.001,0.0,0.0
23,[94],[np.float64(0.18262411347517735)],94,0.17719697691500186,0.1398075670003891,0.001,0.0,0.0
