Regularization,Num Runs,Avg Final Circuits,Std Final Circuits,Avg Final Sparsity,Std Final Sparsity
Normal,93,53.913978494623656,35.79981855963467,0.17977994895180882,0.009363035351176965
L1,76,69.39473684210526,36.610351910846354,0.18316341934890146,0.005808120183587135
L2,98,57.52040816326531,36.423313231667684,0.18043103135528307,0.007892350054846276
Dropout,96,64.64583333333333,42.487247882616366,0.1812715191131651,0.007856896573196305
