Regularization,Num Runs,Avg Final Circuits,Std Final Circuits,Avg Final Sparsity,Std Final Sparsity
Normal,32,59.8125,35.03697823371759,0.18054113889554407,0.009942296506846013
L1,17,61.94117647058823,46.76533480894142,0.18121753092540804,0.007256313772014752
L2,25,55.36,35.874090929248645,0.17989158645277026,0.008823918356775607
Dropout,25,62.32,30.98608720054857,0.18202980775564254,0.008436859345363699
