epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.25821768268942835,0.2541840076446533,0.0,0.0005,0.0
2,[0],[0.0],0,0.24478954188525676,0.2407406121492386,0.0,0.0005,0.0
3,[0],[0.0],0,0.23648934997618198,0.23170076310634613,0.0,0.0005,0.0
4,[0],[0.0],0,0.22857066802680492,0.22441358864307404,0.0,0.0005,0.0
5,[0],[0.0],0,0.21973996199667453,0.21586905419826508,0.0,0.0005,0.0
6,[0],[0.0],0,0.20968705080449582,0.2063593715429306,0.0,0.0005,0.0
7,[0],[0.0],0,0.19885833002626896,0.19735975563526154,0.0,0.0005,0.0
8,[0],[0.0],0,0.18846697509288787,0.18959800899028778,0.0,0.0005,0.0
9,[0],[0.0],0,0.17945607788860798,0.1842598021030426,0.0,0.0005,0.0
10,[0],[0.0],0,0.1728710800409317,0.18078313767910004,0.0,0.0005,0.0
11,[0],[0.0],0,0.168884639069438,0.18003606796264648,0.0,0.0005,0.0
12,[0],[0.0],0,0.16670208498835565,0.17991136014461517,0.0,0.0005,0.0
13,[0],[0.0],0,0.16444287784397602,0.17128753662109375,0.0,0.0005,0.0
14,[0],[0.0],0,0.14744956232607365,0.14104174077510834,0.0,0.0005,0.0
15,[39],[np.float64(0.17948717948717954)],39,0.11813954338431358,0.10338299721479416,0.0,0.0005,0.0
16,[39],[np.float64(0.17948717948717954)],39,0.08424911629408598,0.06654363125562668,0.0,0.0005,0.0
17,[111],[np.float64(0.18618618618618624)],111,0.05310593424364925,0.0364966094493866,0.0,0.0005,0.0
18,[111],[np.float64(0.18618618618618624)],111,0.03002583789639175,0.01739545725286007,0.0,0.0005,0.0
19,[92],[np.float64(0.18659420289855078)],92,0.014310818817466497,0.00602875929325819,0.0,0.0005,0.0
20,[91],[np.float64(0.18681318681318684)],91,0.00803246556315571,0.00272482936270535,0.0,0.0005,0.0
