gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
XOR,1,3,0,[40],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,1,[85],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,2,[26],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,3,[114],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,4,[60],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,5,[27],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,6,[17],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,7,[85],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,8,[26],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,9,[13],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,10,[82],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,11,[84],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,12,[60],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,13,[18],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,14,[26],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,15,[58],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,16,[56],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,17,[49],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,18,[42],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,19,[167],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,20,[66],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,21,[41],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,22,[68],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,23,[52],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,24,[52],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,25,[72],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,27,[50],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,28,[78],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,29,[18],0.01,0.001,2,,0.0001,0.0,0.0
XOR,1,3,30,[9],0.01,0.001,2,,0.0001,0.0,0.0
