gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,convergence_epochs,convergence_circuit_counts,convergence_avg_sparsities,convergence_total_circuits,convergence_train_losses,convergence_val_losses
XOR,1,3,0,[15],0.01,0.001,2,,0.0,0.0,0.0,"[5, 10, 15, 20, 25, 30]","[[0], [0], [0], [0], [25], [15]]","[[0.0], [0.0], [0.0], [0.0], [np.float64(0.1733333333333333)], [np.float64(0.16666666666666663)]]","[0, 0, 0, 0, 25, 15]","[np.float64(0.23087601773440838), np.float64(0.1635464508086443), np.float64(0.1507065210491419), np.float64(0.13040597848594188), np.float64(0.06555268662050366), np.float64(0.0066471411031670865)]","[0.2311486303806305, 0.17484775185585022, 0.16228167712688446, 0.13736991584300995, 0.06309565156698227, 0.0056923991069197655]"
XOR,1,3,1,[88],0.01,0.001,2,,0.0,0.0,0.0,"[5, 10, 15, 20, 25, 30]","[[0], [0], [0], [40], [66], [88]]","[[0.0], [0.0], [0.0], [np.float64(0.17916666666666664)], [np.float64(0.19191919191919188)], [np.float64(0.1875)]]","[0, 0, 0, 40, 66, 88]","[np.float64(0.5588180586695671), np.float64(0.24206769727170468), np.float64(0.1921687364578247), np.float64(0.14618286602199076), np.float64(0.08046924537047744), np.float64(0.007285864616278559)]","[0.5089122653007507, 0.2315036803483963, 0.18832485377788544, 0.14500051736831665, 0.07432056963443756, 0.004994623363018036]"
XOR,1,3,2,[85],0.01,0.001,2,,0.0,0.0,0.0,"[5, 10, 15, 20, 25, 30, 35, 40]","[[0], [0], [85], [0], [0], [85], [85], [85]]","[[0.0], [0.0], [np.float64(0.18823529411764703)], [0.0], [0.0], [np.float64(0.18823529411764703)], [np.float64(0.18823529411764703)], [np.float64(0.18823529411764703)]]","[0, 0, 85, 0, 0, 85, 85, 85]","[np.float64(0.3439472183585167), np.float64(0.24716905653476715), np.float64(0.2284811370074749), np.float64(0.19820128045976163), np.float64(0.1576078526675701), np.float64(0.10755499713122844), np.float64(0.04804386924952268), np.float64(0.01295337334740907)]","[0.3298012316226959, 0.24532265961170197, 0.22607700526714325, 0.19501562416553497, 0.15416182577610016, 0.10236238688230515, 0.04342789202928543, 0.01092869695276022]"
XOR,1,3,3,[114],0.01,0.001,2,,0.0,0.0,0.0,"[5, 10, 15, 20, 25, 30]","[[0], [0], [21], [75], [73], [115]]","[[0.0], [0.0], [np.float64(0.16666666666666663)], [np.float64(0.1822222222222222)], [np.float64(0.18264840182648404)], [np.float64(0.18695652173913044)]]","[0, 0, 21, 75, 73, 115]","[np.float64(0.3836055859923363), np.float64(0.19097366258502008), np.float64(0.11331893894821406), np.float64(0.06934199826791883), np.float64(0.032988589536398646), np.float64(0.010139395319856703)]","[0.3756754398345947, 0.19589684903621674, 0.125783771276474, 0.07809242606163025, 0.03574895113706589, 0.010397426784038544]"
