epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.25380995199084283,0.24897371232509613,0.0,0.0,0.0
2,[16],[np.float64(0.17708333333333331)],16,0.24940139278769494,0.24852363765239716,0.0,0.0,0.0
3,[24],[np.float64(0.18055555555555555)],24,0.24687620922923087,0.24478566646575928,0.0,0.0,0.0
4,[26],[np.float64(0.1794871794871795)],26,0.24165170788764953,0.23783330619335175,0.0,0.0,0.0
5,[71],[np.float64(0.17840375586854454)],71,0.23212886042892933,0.22475247085094452,0.0,0.0,0.0
6,[69],[np.float64(0.17874396135265697)],69,0.21593861766159533,0.20436106622219086,0.0,0.0,0.0
7,[71],[np.float64(0.17840375586854454)],71,0.19128440245985984,0.1748567819595337,0.0,0.0,0.0
8,[71],[np.float64(0.17840375586854454)],71,0.15859261080622672,0.13910223543643951,0.0,0.0,0.0
9,[63],[np.float64(0.17989417989417983)],63,0.121218391507864,0.10122387856245041,0.0,0.0,0.0
10,[52],[np.float64(0.17948717948717943)],52,0.08422433827072381,0.06695464253425598,0.0,0.0,0.0
11,[44],[np.float64(0.17424242424242425)],44,0.053557995893061164,0.04102647677063942,0.0,0.0,0.0
12,[30],[np.float64(0.17777777777777784)],30,0.03138156696222723,0.02311195246875286,0.0,0.0,0.0
13,[42],[np.float64(0.19444444444444442)],42,0.016920499340631067,0.0120241092517972,0.0,0.0,0.0
14,[30],[np.float64(0.17777777777777784)],30,0.008380864677019418,0.00564970076084137,0.0,0.0,0.0
