epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.32060870751738546,0.3647361695766449,0.0,0.0,0.0
2,[0],[0.0],0,0.3004004944115877,0.326446533203125,0.0,0.0,0.0
3,[0],[0.0],0,0.2561651147902012,0.2558286488056183,0.0,0.0,0.0
4,[0],[0.0],0,0.21478046141564847,0.21532921493053436,0.0,0.0,0.0
5,[52],[np.float64(0.17948717948717943)],52,0.18548063263297082,0.17827460169792175,0.0,0.0,0.0
6,[52],[np.float64(0.17948717948717943)],52,0.15721482858061792,0.1441664844751358,0.0,0.0,0.0
7,[52],[np.float64(0.17948717948717943)],52,0.1292418260127306,0.11320511251688004,0.0,0.0,0.0
8,[52],[np.float64(0.17948717948717943)],52,0.10481505375355482,0.08782040327787399,0.0,0.0,0.0
9,[52],[np.float64(0.17948717948717943)],52,0.08488732855767012,0.06824462860822678,0.0,0.0,0.0
10,[52],[np.float64(0.17948717948717943)],52,0.06843160353600979,0.05309486389160156,0.0,0.0,0.0
11,[49],[np.float64(0.1802721088435374)],49,0.054816458653658626,0.0411190427839756,0.0,0.0,0.0
12,[46],[np.float64(0.17753623188405795)],46,0.043394201714545486,0.031848181039094925,0.0,0.0,0.0
13,[52],[np.float64(0.17948717948717943)],52,0.03405610774643719,0.02453308366239071,0.0,0.0,0.0
14,[52],[np.float64(0.17948717948717943)],52,0.02636821661144495,0.01868881843984127,0.0,0.0,0.0
15,[52],[np.float64(0.17948717948717943)],52,0.02020585793070495,0.014176378957927227,0.0,0.0,0.0
16,[52],[np.float64(0.17948717948717943)],52,0.015316287125460803,0.01057971641421318,0.0,0.0,0.0
17,[52],[np.float64(0.17948717948717943)],52,0.011444087815470993,0.007833181880414486,0.0,0.0,0.0
18,[52],[np.float64(0.17948717948717943)],52,0.008457626565359533,0.005741111468523741,0.0,0.0,0.0
