epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.5203170999884605,0.42530757188796997,0.0,0.0,0.0
2,[0],[0.0],0,0.4490846410393715,0.3721334636211395,0.0,0.0,0.0
3,[0],[0.0],0,0.3954944536089897,0.3347794711589813,0.0,0.0,0.0
4,[0],[0.0],0,0.3397507227957249,0.26965633034706116,0.0,0.0,0.0
5,[0],[0.0],0,0.25817285254597666,0.22575126588344574,0.0,0.0,0.0
6,[0],[0.0],0,0.21974342986941336,0.20691822469234467,0.0,0.0,0.0
7,[16],[np.float64(0.1875)],16,0.1977179352194071,0.1893083155155182,0.0,0.0,0.0
8,[16],[np.float64(0.1875)],16,0.17793998643755912,0.1742461919784546,0.0,0.0,0.0
9,[24],[np.float64(0.18055555555555555)],24,0.16331553980708122,0.16060280799865723,0.0,0.0,0.0
10,[40],[np.float64(0.1833333333333333)],40,0.14973371420055628,0.1452811062335968,0.0,0.0,0.0
11,[40],[np.float64(0.1833333333333333)],40,0.135732676461339,0.12898682057857513,0.0,0.0,0.0
12,[46],[np.float64(0.18115942028985504)],46,0.12116774767637253,0.11269276589155197,0.0,0.0,0.0
13,[54],[np.float64(0.17901234567901228)],54,0.10623273346573114,0.0965098887681961,0.0,0.0,0.0
14,[60],[np.float64(0.17777777777777773)],60,0.09202364236116409,0.08410299569368362,0.0,0.0,0.0
15,[60],[np.float64(0.17777777777777773)],60,0.07875840347260236,0.07098659873008728,0.0,0.0,0.0
16,[60],[np.float64(0.17777777777777773)],60,0.0647905227728188,0.05743194743990898,0.0,0.0,0.0
17,[50],[np.float64(0.17999999999999997)],50,0.05080124288797379,0.044294264167547226,0.0,0.0,0.0
18,[30],[np.float64(0.17777777777777784)],30,0.03780676615424454,0.03256697580218315,0.0,0.0,0.0
19,[30],[np.float64(0.17777777777777784)],30,0.026882332703098654,0.02349565364420414,0.0,0.0,0.0
20,[30],[np.float64(0.17777777777777784)],30,0.0191729532321915,0.01717534475028515,0.0,0.0,0.0
21,[30],[np.float64(0.17777777777777784)],30,0.014431835291907192,0.013171744532883167,0.0,0.0,0.0
22,[30],[np.float64(0.17777777777777784)],30,0.011047920468263328,0.009891283698379993,0.0,0.0,0.0
23,[30],[np.float64(0.17777777777777784)],30,0.008275802212301642,0.007262485567480326,0.0,0.0,0.0
