epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
39,[80],[np.float64(0.19166666666666668)],80,0.011956627457402646,2.1040899810031988e-05,0.001,0.0,0.0
40,[80],[np.float64(0.19166666666666668)],80,0.011942841298878192,2.116719406330958e-05,0.001,0.0,0.0
41,[86],[np.float64(0.18992248062015502)],86,0.011928743706084788,2.1175101210246794e-05,0.001,0.0,0.0
42,[86],[np.float64(0.18992248062015502)],86,0.011914336471818388,2.1199126422288828e-05,0.001,0.0,0.0
43,[86],[np.float64(0.18992248062015502)],86,0.011899734381586313,2.0708597730845213e-05,0.001,0.0,0.0
44,[86],[np.float64(0.18992248062015502)],86,0.011884607002139091,2.141307595593389e-05,0.001,0.0,0.0
45,[86],[np.float64(0.18992248062015502)],86,0.011869361298158765,2.060715814877767e-05,0.001,0.0,0.0
46,[86],[np.float64(0.18992248062015502)],86,0.011853795149363577,2.1256497348076664e-05,0.001,0.0,0.0
47,[86],[np.float64(0.18992248062015502)],86,0.011837798915803433,2.0551198758766986e-05,0.001,0.0,0.0
48,[86],[np.float64(0.18992248062015502)],86,0.01182157474104315,2.1105770429130644e-05,0.001,0.0,0.0
49,[86],[np.float64(0.18992248062015502)],86,0.011804982530884444,2.1325849957065657e-05,0.001,0.0,0.0
50,[86],[np.float64(0.18992248062015502)],86,0.011787867569364608,2.2035956135368906e-05,0.001,0.0,0.0
51,[86],[np.float64(0.18992248062015502)],86,0.011770503339357674,2.0959676476195455e-05,0.001,0.0,0.0
52,[86],[np.float64(0.18992248062015502)],86,0.011752695147879421,2.0626746845664456e-05,0.001,0.0,0.0
53,[86],[np.float64(0.18992248062015502)],86,0.011734672565944492,2.0159690393484198e-05,0.001,0.0,0.0
54,[86],[np.float64(0.18992248062015502)],86,0.011715882481075824,2.0932440747856162e-05,0.001,0.0,0.0
55,[90],[np.float64(0.18888888888888888)],90,0.011696739448234439,2.0230296286172234e-05,0.001,0.0,0.0
56,[90],[np.float64(0.18888888888888888)],90,0.01167721247766167,2.0978677639504895e-05,0.001,0.0,0.0
57,[90],[np.float64(0.18888888888888888)],90,0.011657393421046436,2.0365563614177518e-05,0.001,0.0,0.0
58,[84],[np.float64(0.1884920634920635)],84,0.011636367067694664,2.0773819414898753e-05,0.001,0.0,0.0
59,[79],[np.float64(0.1835443037974683)],79,0.011615307023748755,2.09534919122234e-05,0.001,0.0,0.0
60,[78],[np.float64(0.18376068376068372)],78,0.011593783926218747,2.0774996301042847e-05,0.001,0.0,0.0
61,[78],[np.float64(0.18376068376068372)],78,0.011571277864277363,2.068356297968421e-05,0.001,0.0,0.0
62,[78],[np.float64(0.18376068376068372)],78,0.011548470566049218,2.0864428734057583e-05,0.001,0.0,0.0
63,[78],[np.float64(0.18376068376068372)],78,0.011524673737585544,2.04490697797155e-05,0.001,0.0,0.0
64,[78],[np.float64(0.18376068376068372)],78,0.011500276043079793,2.017365477513522e-05,0.001,0.0,0.0
65,[78],[np.float64(0.18376068376068372)],78,0.01147656631655991,1.702716326690279e-05,0.001,0.0,0.0
66,[84],[np.float64(0.18849206349206346)],84,0.011459407093934715,1.6043964933487587e-05,0.001,0.0,0.0
67,[80],[np.float64(0.1875)],80,0.011444158013910055,1.6673160644131713e-05,0.001,0.0,0.0
68,[80],[np.float64(0.1875)],80,0.01142918230034411,1.570412678120192e-05,0.001,0.0,0.0
69,[80],[np.float64(0.1875)],80,0.011413844558410347,1.558289113745559e-05,0.001,0.0,0.0
70,[80],[np.float64(0.1875)],80,0.01139790981542319,1.654274637985509e-05,0.001,0.0,0.0
71,[86],[np.float64(0.19186046511627908)],86,0.011381724081002177,1.620478360564448e-05,0.001,0.0,0.0
72,[86],[np.float64(0.19186046511627908)],86,0.011364917014725506,1.5567848095088266e-05,0.001,0.0,0.0
73,[86],[np.float64(0.19186046511627908)],86,0.011347608477808534,1.5844889276195318e-05,0.001,0.0,0.0
74,[86],[np.float64(0.19186046511627908)],86,0.011329980823211372,1.5731433450127952e-05,0.001,0.0,0.0
75,[86],[np.float64(0.19186046511627908)],86,0.011311739822849632,1.6072974176495336e-05,0.001,0.0,0.0
76,[86],[np.float64(0.19186046511627908)],86,0.01129262219183147,1.5980389434844255e-05,0.001,0.0,0.0
77,[86],[np.float64(0.19186046511627908)],86,0.011273257876746356,1.6261697965092026e-05,0.001,0.0,0.0
78,[86],[np.float64(0.19186046511627908)],86,0.01125313867814839,1.606425030331593e-05,0.001,0.0,0.0
79,[86],[np.float64(0.19186046511627908)],86,0.01123256660066545,1.6091798897832632e-05,0.001,0.0,0.0
80,[86],[np.float64(0.19186046511627908)],86,0.011211151303723455,1.643690120545216e-05,0.001,0.0,0.0
81,[88],[np.float64(0.19128787878787878)],88,0.011188824172131717,1.546543171571102e-05,0.001,0.0,0.0
82,[88],[np.float64(0.19128787878787878)],88,0.011166066862642765,1.7704174751997925e-05,0.001,0.0,0.0
83,[88],[np.float64(0.19128787878787878)],88,0.011142338998615742,1.6746720575611107e-05,0.001,0.0,0.0
84,[88],[np.float64(0.19128787878787878)],88,0.01111961246933788,1.55806901602773e-05,0.001,0.0,0.0
85,[88],[np.float64(0.19128787878787878)],88,0.01109803372528404,1.5640580386389047e-05,0.001,0.0,0.0
86,[88],[np.float64(0.19128787878787878)],88,0.011075899587012827,1.583450284670107e-05,0.001,0.0,0.0
87,[88],[np.float64(0.19128787878787878)],88,0.011052961810491979,1.6446481822640635e-05,0.001,0.0,0.0
88,[95],[np.float64(0.18947368421052638)],95,0.011029570829123259,1.6168803995242342e-05,0.001,0.0,0.0
89,[100],[np.float64(0.18833333333333335)],100,0.01100521837361157,1.5495406842092052e-05,0.001,0.0,0.0
90,[92],[np.float64(0.19021739130434787)],92,0.010980564961209893,1.5469029676751234e-05,0.001,0.0,0.0
91,[96],[np.float64(0.19270833333333334)],96,0.01095461070071906,1.6261697965092026e-05,0.001,0.0,0.0
92,[96],[np.float64(0.19270833333333334)],96,0.010927689704112708,1.6697891624062322e-05,0.001,0.0,0.0
93,[96],[np.float64(0.19270833333333334)],96,0.010900061391294003,1.571367283759173e-05,0.001,0.0,0.0
94,[96],[np.float64(0.19270833333333334)],96,0.010871194931678475,1.728096503939014e-05,0.001,0.0,0.0
95,[96],[np.float64(0.19270833333333334)],96,0.010841028625145554,1.677894215390552e-05,0.001,0.0,0.0
96,[96],[np.float64(0.19270833333333334)],96,0.010810056328773498,1.6120169675559737e-05,0.001,0.0,0.0
97,[99],[np.float64(0.19191919191919196)],99,0.01077695181593299,1.6642437913105823e-05,0.001,0.0,0.0
98,[102],[np.float64(0.19117647058823536)],102,0.01074260394088924,1.7457821741118096e-05,0.001,0.0,0.0
99,[102],[np.float64(0.19117647058823536)],102,0.010706153139472008,1.774928932718467e-05,0.001,0.0,0.0
100,[102],[np.float64(0.19117647058823536)],102,0.010668066143989564,1.7101396224461496e-05,0.001,0.0,0.0
101,[102],[np.float64(0.19117647058823536)],102,0.010627067112363876,1.707691808405798e-05,0.001,0.0,0.0
102,[94],[np.float64(0.1932624113475178)],94,0.010583450831472874,1.71764495462412e-05,0.001,0.0,0.0
103,[97],[np.float64(0.19243986254295534)],97,0.010541704646311701,1.8585405996418558e-05,0.001,0.0,0.0
104,[103],[np.float64(0.19093851132686093)],103,0.01050054719671607,1.7253747500944883e-05,0.001,0.0,0.0
105,[103],[np.float64(0.19093851132686093)],103,0.010455247154459358,1.7426626072847284e-05,0.001,0.0,0.0
106,[103],[np.float64(0.19093851132686093)],103,0.01040471768938005,1.7117255993071012e-05,0.001,0.0,0.0
107,[103],[np.float64(0.19093851132686093)],103,0.010347686498425901,1.7091160771087743e-05,0.001,0.0,0.0
108,[103],[np.float64(0.19093851132686093)],103,0.01028164776507765,1.6772144590504467e-05,0.001,0.0,0.0
109,[103],[np.float64(0.19093851132686093)],103,0.010206134268082678,1.5656996765756048e-05,0.001,0.0,0.0
110,[103],[np.float64(0.19093851132686093)],103,0.010119236609898507,1.3042573300481308e-05,0.001,0.0,0.0
111,[103],[np.float64(0.19093851132686093)],103,0.010045312019065023,1.248569788003806e-05,0.001,0.0,0.0
112,[103],[np.float64(0.19093851132686093)],103,0.009983016806654633,1.2057828826073091e-05,0.001,0.0,0.0
