gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
XOR,1,3,73,[30],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed73_l1_0.001.json
XOR,1,3,74,[141],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed74_l1_0.001.json
XOR,1,3,75,[167],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed75_l1_0.001.json
XOR,1,3,76,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed76_l1_0.001.json
XOR,1,3,77,[63],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed77_l1_0.001.json
XOR,1,3,78,[45],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed78_l1_0.001.json
XOR,1,3,81,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed81_l1_0.001.json
XOR,1,3,82,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed82_l1_0.001.json
XOR,1,3,83,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed83_l1_0.001.json
XOR,1,3,84,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed84_l1_0.001.json
XOR,1,3,86,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed86_l1_0.001.json
XOR,1,3,87,[26],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed87_l1_0.001.json
XOR,1,3,88,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed88_l1_0.001.json
XOR,1,3,89,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed89_l1_0.001.json
XOR,1,3,90,[167],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed90_l1_0.001.json
XOR,1,3,92,[167],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed92_l1_0.001.json
XOR,1,3,93,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed93_l1_0.001.json
XOR,1,3,94,[52],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed94_l1_0.001.json
XOR,1,3,96,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed96_l1_0.001.json
XOR,1,3,97,[26],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed97_l1_0.001.json
XOR,1,3,98,[85],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed98_l1_0.001.json
XOR,1,3,99,[26],0.01,0.001,2,,0.001,0.0,0.0,detailed_circuits_seed99_l1_0.001.json
