epoch,circuit_counts,avg_sparsities,total_circuits,train_loss,val_loss,l1_lambda,l2_lambda,dropout_rate
1,[0],[0.0],0,0.3569748431444168,0.2995932698249817,0.001,0.0,0.0
2,[0],[0.0],0,0.2928233243525028,0.26293832063674927,0.001,0.0,0.0
3,[0],[0.0],0,0.2688542533665895,0.25477346777915955,0.001,0.0,0.0
4,[0],[0.0],0,0.26299831829965115,0.2534172832965851,0.001,0.0,0.0
5,[0],[0.0],0,0.2610947139561176,0.2526349723339081,0.001,0.0,0.0
6,[0],[0.0],0,0.2596738200634718,0.251837819814682,0.001,0.0,0.0
7,[0],[0.0],0,0.2583990141749382,0.2509700357913971,0.001,0.0,0.0
8,[0],[0.0],0,0.2570441722869873,0.24984359741210938,0.001,0.0,0.0
9,[0],[0.0],0,0.25516335256397726,0.2476828396320343,0.001,0.0,0.0
10,[0],[0.0],0,0.2522598788142204,0.24421635270118713,0.001,0.0,0.0
11,[0],[0.0],0,0.24757497943937778,0.23903046548366547,0.001,0.0,0.0
12,[0],[0.0],0,0.24099933318793773,0.23204289376735687,0.001,0.0,0.0
13,[13],[np.float64(0.17948717948717946)],13,0.23324433267116546,0.2235933542251587,0.001,0.0,0.0
14,[26],[np.float64(0.1794871794871795)],26,0.22393972240388393,0.21407990157604218,0.001,0.0,0.0
15,[0],[0.0],0,0.21290475688874722,0.20296445488929749,0.001,0.0,0.0
16,[26],[np.float64(0.1794871794871795)],26,0.20108292624354362,0.1909954994916916,0.001,0.0,0.0
17,[26],[np.float64(0.1794871794871795)],26,0.18900814801454544,0.1795426607131958,0.001,0.0,0.0
18,[26],[np.float64(0.1794871794871795)],26,0.17724613547325135,0.16924543678760529,0.001,0.0,0.0
19,[26],[np.float64(0.1794871794871795)],26,0.16727423742413522,0.16027382016181946,0.001,0.0,0.0
20,[32],[np.float64(0.17708333333333331)],32,0.1579525001347065,0.1507890671491623,0.001,0.0,0.0
21,[32],[np.float64(0.17708333333333331)],32,0.1483345191925764,0.14074386656284332,0.001,0.0,0.0
22,[32],[np.float64(0.17708333333333331)],32,0.1382401566952467,0.13012301921844482,0.001,0.0,0.0
23,[32],[np.float64(0.17708333333333331)],32,0.12766371555626393,0.11872714012861252,0.001,0.0,0.0
24,[58],[np.float64(0.17816091954022986)],58,0.11648670826107263,0.10690855979919434,0.001,0.0,0.0
25,[26],[np.float64(0.1794871794871795)],26,0.10475463476032018,0.09406214952468872,0.001,0.0,0.0
26,[26],[np.float64(0.1794871794871795)],26,0.0925064405426383,0.08100481331348419,0.001,0.0,0.0
27,[13],[np.float64(0.17948717948717946)],13,0.0799715468659997,0.06762401014566422,0.001,0.0,0.0
28,[13],[np.float64(0.17948717948717946)],13,0.06758450167253613,0.054645419120788574,0.001,0.0,0.0
29,[13],[np.float64(0.17948717948717946)],13,0.0557122677564621,0.04255792498588562,0.001,0.0,0.0
30,[13],[np.float64(0.17948717948717946)],13,0.04489861810579896,0.031749896705150604,0.001,0.0,0.0
31,[13],[np.float64(0.17948717948717946)],13,0.03550330749712884,0.022527744993567467,0.001,0.0,0.0
32,[13],[np.float64(0.17948717948717946)],13,0.027830028906464577,0.015227454714477062,0.001,0.0,0.0
33,[13],[np.float64(0.17948717948717946)],13,0.021959791565313934,0.009804651141166687,0.001,0.0,0.0
34,[72],[np.float64(0.18981481481481483)],72,0.017760345386341213,0.006349336355924606,0.001,0.0,0.0
35,[72],[np.float64(0.18981481481481483)],72,0.015236249635927379,0.004219783004373312,0.001,0.0,0.0
36,[72],[np.float64(0.18981481481481483)],72,0.013613441167399288,0.0027619730681180954,0.001,0.0,0.0
37,[72],[np.float64(0.18981481481481483)],72,0.012517072702758014,0.0017624525353312492,0.001,0.0,0.0
38,[72],[np.float64(0.18981481481481483)],72,0.011789402877911925,0.0011129379272460938,0.001,0.0,0.0
39,[53],[np.float64(0.19496855345911945)],53,0.011325256037525832,0.0006980386679060757,0.001,0.0,0.0
40,[53],[np.float64(0.19496855345911945)],53,0.011035119881853461,0.0004338498692959547,0.001,0.0,0.0
41,[53],[np.float64(0.19496855345911945)],53,0.01085751794744283,0.0002731705317273736,0.001,0.0,0.0
42,[13],[np.float64(0.17948717948717946)],13,0.010751887550577521,0.00017345456581097096,0.001,0.0,0.0
43,[13],[np.float64(0.17948717948717946)],13,0.010687526827678085,0.00011360005009919405,0.001,0.0,0.0
44,[13],[np.float64(0.17948717948717946)],13,0.010649295593611895,7.652477506780997e-05,0.001,0.0,0.0
45,[13],[np.float64(0.17948717948717946)],13,0.010625595902092754,5.452405457617715e-05,0.001,0.0,0.0
46,[13],[np.float64(0.17948717948717946)],13,0.010610435809940099,4.0127979445969686e-05,0.001,0.0,0.0
47,[13],[np.float64(0.17948717948717946)],13,0.010599696799181402,3.145135269733146e-05,0.001,0.0,0.0
48,[13],[np.float64(0.17948717948717946)],13,0.010591739183291793,2.6061255994136445e-05,0.001,0.0,0.0
49,[53],[np.float64(0.19496855345911945)],53,0.010585042787715793,2.2448000891017728e-05,0.001,0.0,0.0
50,[53],[np.float64(0.19496855345911945)],53,0.010579104488715529,2.0188830603729002e-05,0.001,0.0,0.0
51,[53],[np.float64(0.19496855345911945)],53,0.010573600139468908,1.860155134636443e-05,0.001,0.0,0.0
52,[53],[np.float64(0.19496855345911945)],53,0.01056815276388079,1.7645728803472593e-05,0.001,0.0,0.0
53,[53],[np.float64(0.19496855345911945)],53,0.010562825598753989,1.698445703368634e-05,0.001,0.0,0.0
54,[53],[np.float64(0.19496855345911945)],53,0.010557399108074605,1.6536961993551813e-05,0.001,0.0,0.0
55,[53],[np.float64(0.19496855345911945)],53,0.010551884630694985,1.6370560842915438e-05,0.001,0.0,0.0
56,[53],[np.float64(0.19496855345911945)],53,0.010546407592482866,1.6156749552465044e-05,0.001,0.0,0.0
57,[72],[np.float64(0.18981481481481483)],72,0.010540637909434736,1.588694067322649e-05,0.001,0.0,0.0
58,[72],[np.float64(0.18981481481481483)],72,0.010534947109408676,1.5823097783140838e-05,0.001,0.0,0.0
59,[72],[np.float64(0.18981481481481483)],72,0.010529065015725791,1.555808375997003e-05,0.001,0.0,0.0
60,[72],[np.float64(0.18981481481481483)],72,0.010523196659050882,1.5362353224190883e-05,0.001,0.0,0.0
61,[72],[np.float64(0.18981481481481483)],72,0.01051706790458411,1.53256823978154e-05,0.001,0.0,0.0
62,[72],[np.float64(0.18981481481481483)],72,0.010510980826802551,1.5043691746541299e-05,0.001,0.0,0.0
63,[72],[np.float64(0.18981481481481483)],72,0.010504690906964242,1.5119658201001585e-05,0.001,0.0,0.0
64,[72],[np.float64(0.18981481481481483)],72,0.010498284897767007,1.506742864876287e-05,0.001,0.0,0.0
65,[72],[np.float64(0.18981481481481483)],72,0.01049193947110325,1.4629465113102924e-05,0.001,0.0,0.0
66,[72],[np.float64(0.18981481481481483)],72,0.010485213994979859,1.4594677850254811e-05,0.001,0.0,0.0
67,[72],[np.float64(0.18981481481481483)],72,0.010478590941056609,1.4402670785784721e-05,0.001,0.0,0.0
68,[72],[np.float64(0.18981481481481483)],72,0.010471723601222038,1.435859940102091e-05,0.001,0.0,0.0
69,[72],[np.float64(0.18981481481481483)],72,0.010464746062643826,1.4304359865491278e-05,0.001,0.0,0.0
70,[72],[np.float64(0.18981481481481483)],72,0.01045771730132401,1.4111566088104155e-05,0.001,0.0,0.0
71,[72],[np.float64(0.18981481481481483)],72,0.010450518201105296,1.428990981366951e-05,0.001,0.0,0.0
72,[72],[np.float64(0.18981481481481483)],72,0.010443540732376277,1.4726319022884127e-05,0.001,0.0,0.0
73,[72],[np.float64(0.18981481481481483)],72,0.010436761332675815,1.472934218327282e-05,0.001,0.0,0.0
74,[72],[np.float64(0.18981481481481483)],72,0.010429925937205552,1.4866119272483047e-05,0.001,0.0,0.0
75,[72],[np.float64(0.18981481481481483)],72,0.010422889306209982,1.4734078831679653e-05,0.001,0.0,0.0
76,[72],[np.float64(0.18981481481481483)],72,0.010415778309106827,1.4824961908743717e-05,0.001,0.0,0.0
77,[72],[np.float64(0.18981481481481483)],72,0.010408462467603385,1.4552056200045627e-05,0.001,0.0,0.0
78,[72],[np.float64(0.18981481481481483)],72,0.010401009093038737,1.4694540368509479e-05,0.001,0.0,0.0
79,[72],[np.float64(0.18981481481481483)],72,0.010393520654179155,1.452875767427031e-05,0.001,0.0,0.0
80,[72],[np.float64(0.18981481481481483)],72,0.010385869978927076,1.4345508134283591e-05,0.001,0.0,0.0
81,[72],[np.float64(0.18981481481481483)],72,0.010378114995546639,1.4490394278254826e-05,0.001,0.0,0.0
82,[72],[np.float64(0.18981481481481483)],72,0.010370131768286227,1.412806159351021e-05,0.001,0.0,0.0
83,[72],[np.float64(0.18981481481481483)],72,0.010362117690965534,1.3976529771753121e-05,0.001,0.0,0.0
84,[72],[np.float64(0.18981481481481483)],72,0.010353798768483103,1.3925976418249775e-05,0.001,0.0,0.0
85,[72],[np.float64(0.18981481481481483)],72,0.010345336119644343,1.3957825103716459e-05,0.001,0.0,0.0
86,[72],[np.float64(0.18981481481481483)],72,0.010336958058178424,1.3753809980698861e-05,0.001,0.0,0.0
87,[72],[np.float64(0.18981481481481483)],72,0.01032836497761309,1.4277210539148655e-05,0.001,0.0,0.0
88,[72],[np.float64(0.18981481481481483)],72,0.010319477948360144,1.377917669742601e-05,0.001,0.0,0.0
89,[72],[np.float64(0.18981481481481483)],72,0.010310551500879228,1.3781909729004838e-05,0.001,0.0,0.0
90,[72],[np.float64(0.18981481481481483)],72,0.01030149688012898,1.3624087841890287e-05,0.001,0.0,0.0
91,[72],[np.float64(0.18981481481481483)],72,0.010292234551161527,1.3745017895416822e-05,0.001,0.0,0.0
92,[72],[np.float64(0.18981481481481483)],72,0.010282829334028066,1.3424584722088184e-05,0.001,0.0,0.0
93,[72],[np.float64(0.18981481481481483)],72,0.010273152077570558,1.3444700925901998e-05,0.001,0.0,0.0
94,[72],[np.float64(0.18981481481481483)],72,0.010263401013799012,1.3435469554679003e-05,0.001,0.0,0.0
95,[72],[np.float64(0.18981481481481483)],72,0.010253536887466908,1.3585521628556307e-05,0.001,0.0,0.0
96,[72],[np.float64(0.18981481481481483)],72,0.010243493155576289,1.3304196727403905e-05,0.001,0.0,0.0
97,[72],[np.float64(0.18981481481481483)],72,0.01023316103965044,1.3300063983479049e-05,0.001,0.0,0.0
98,[72],[np.float64(0.18981481481481483)],72,0.010222880635410547,1.3534966456063557e-05,0.001,0.0,0.0
99,[72],[np.float64(0.18981481481481483)],72,0.01021222835406661,1.3135645531292539e-05,0.001,0.0,0.0
100,[72],[np.float64(0.18981481481481483)],72,0.010201679542660713,1.3333337847143412e-05,0.001,0.0,0.0
101,[72],[np.float64(0.18981481481481483)],72,0.010190640459768474,1.2999479622521903e-05,0.001,0.0,0.0
102,[72],[np.float64(0.18981481481481483)],72,0.010179417813196779,1.3225252587290015e-05,0.001,0.0,0.0
103,[72],[np.float64(0.18981481481481483)],72,0.010167858749628066,1.2724087355309166e-05,0.001,0.0,0.0
104,[72],[np.float64(0.18981481481481483)],72,0.010156482108868659,1.3115538422425743e-05,0.001,0.0,0.0
105,[72],[np.float64(0.18981481481481483)],72,0.010144857247360051,1.295598667638842e-05,0.001,0.0,0.0
106,[72],[np.float64(0.18981481481481483)],72,0.01013273005373776,1.2947479262948036e-05,0.001,0.0,0.0
107,[72],[np.float64(0.18981481481481483)],72,0.01012070025317371,1.2671065633185208e-05,0.001,0.0,0.0
108,[72],[np.float64(0.18981481481481483)],72,0.010108328331261874,1.2566481018438935e-05,0.001,0.0,0.0
109,[72],[np.float64(0.18981481481481483)],72,0.010095770261250437,1.2744845662382431e-05,0.001,0.0,0.0
110,[72],[np.float64(0.18981481481481483)],72,0.010083160595968366,1.2608588804141618e-05,0.001,0.0,0.0
111,[72],[np.float64(0.18981481481481483)],72,0.010070248576812445,1.2709155271295458e-05,0.001,0.0,0.0
112,[72],[np.float64(0.18981481481481483)],72,0.010057146660983562,1.2581757800944615e-05,0.001,0.0,0.0
113,[72],[np.float64(0.18981481481481483)],72,0.010043804650194943,1.2485358638514299e-05,0.001,0.0,0.0
114,[72],[np.float64(0.18981481481481483)],72,0.010030312184244394,1.276235889235977e-05,0.001,0.0,0.0
115,[72],[np.float64(0.18981481481481483)],72,0.010016542370431125,1.2700415936706122e-05,0.001,0.0,0.0
116,[72],[np.float64(0.18981481481481483)],72,0.010002597421407699,1.272770077775931e-05,0.001,0.0,0.0
