,gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
0,XOR,1,3,0,[29],0.01,0.001,2,,0.0,0.0,0.01
1,XOR,1,3,1,[85],0.01,0.001,2,,0.0,0.0,0.01
2,XOR,1,3,3,[52],0.01,0.001,2,,0.0,0.0,0.01
3,XOR,1,3,4,[48],0.01,0.001,2,,0.0,0.0,0.01
4,XOR,1,3,5,[52],0.01,0.001,2,,0.0,0.0,0.01
5,XOR,1,3,6,[42],0.01,0.001,2,,0.0,0.0,0.01
6,XOR,1,3,8,[38],0.01,0.001,2,,0.0,0.0,0.01
7,XOR,1,3,9,[10],0.01,0.001,2,,0.0,0.0,0.01
8,XOR,1,3,10,[85],0.01,0.001,2,,0.0,0.0,0.01
9,XOR,1,3,11,[92],0.01,0.001,2,,0.0,0.0,0.01
10,XOR,1,3,12,[30],0.01,0.001,2,,0.0,0.0,0.01
11,XOR,1,3,14,[72],0.01,0.001,2,,0.0,0.0,0.01
12,XOR,1,3,15,[107],0.01,0.001,2,,0.0,0.0,0.01
13,XOR,1,3,16,[46],0.01,0.001,2,,0.0,0.0,0.01
14,XOR,1,3,17,[33],0.01,0.001,2,,0.0,0.0,0.01
15,XOR,1,3,18,[37],0.01,0.001,2,,0.0,0.0,0.01
16,XOR,1,3,19,[81],0.01,0.001,2,,0.0,0.0,0.01
17,XOR,1,3,20,[66],0.01,0.001,2,,0.0,0.0,0.01
18,XOR,1,3,21,[26],0.01,0.001,2,,0.0,0.0,0.01
19,XOR,1,3,22,[62],0.01,0.001,2,,0.0,0.0,0.01
20,XOR,1,3,23,[141],0.01,0.001,2,,0.0,0.0,0.01
21,XOR,1,3,24,[85],0.01,0.001,2,,0.0,0.0,0.01
22,XOR,1,3,25,[52],0.01,0.001,2,,0.0,0.0,0.01
23,XOR,1,3,26,[58],0.01,0.001,2,,0.0,0.0,0.01
24,XOR,1,3,27,[50],0.01,0.001,2,,0.0,0.0,0.01
25,XOR,1,3,29,[30],0.01,0.001,2,,0.0,0.0,0.01
26,XOR,1,3,30,[125],0.01,0.001,2,,0.0,0.0,0.01
27,XOR,1,3,32,[85],0.01,0.001,2,,0.0,0.0,0.01
28,XOR,1,3,33,[27],0.01,0.001,2,,0.0,0.0,0.01
29,XOR,1,3,34,[10],0.01,0.001,2,,0.0,0.0,0.01
30,XOR,1,3,35,[57],0.01,0.001,2,,0.0,0.0,0.01
31,XOR,1,3,36,[44],0.01,0.001,2,,0.0,0.0,0.01
32,XOR,1,3,37,[50],0.01,0.001,2,,0.0,0.0,0.01
33,XOR,1,3,38,[26],0.01,0.001,2,,0.0,0.0,0.01
34,XOR,1,3,39,[20],0.01,0.001,2,,0.0,0.0,0.01
35,XOR,1,3,40,[159],0.01,0.001,2,,0.0,0.0,0.01
36,XOR,1,3,41,[52],0.01,0.001,2,,0.0,0.0,0.01
37,XOR,1,3,43,[14],0.01,0.001,2,,0.0,0.0,0.01
38,XOR,1,3,44,[68],0.01,0.001,2,,0.0,0.0,0.01
39,XOR,1,3,45,[52],0.01,0.001,2,,0.0,0.0,0.01
40,XOR,1,3,46,[52],0.01,0.001,2,,0.0,0.0,0.01
41,XOR,1,3,47,[40],0.01,0.001,2,,0.0,0.0,0.01
42,XOR,1,3,48,[38],0.01,0.001,2,,0.0,0.0,0.01
43,XOR,1,3,49,[67],0.01,0.001,2,,0.0,0.0,0.01
44,XOR,1,3,50,[120],0.01,0.001,2,,0.0,0.0,0.01
45,XOR,1,3,52,[49],0.01,0.001,2,,0.0,0.0,0.01
46,XOR,1,3,54,[52],0.01,0.001,2,,0.0,0.0,0.01
47,XOR,1,3,55,[54],0.01,0.001,2,,0.0,0.0,0.01
48,XOR,1,3,56,[46],0.01,0.001,2,,0.0,0.0,0.01
49,XOR,1,3,57,[68],0.01,0.001,2,,0.0,0.0,0.01
50,XOR,1,3,58,[130],0.01,0.001,2,,0.0,0.0,0.01
51,XOR,1,3,61,[85],0.01,0.001,2,,0.0,0.0,0.01
52,XOR,1,3,62,[49],0.01,0.001,2,,0.0,0.0,0.01
53,XOR,1,3,63,[104],0.01,0.001,2,,0.0,0.0,0.01
54,XOR,1,3,64,[85],0.01,0.001,2,,0.0,0.0,0.01
55,XOR,1,3,65,[85],0.01,0.001,2,,0.0,0.0,0.01
56,XOR,1,3,66,[40],0.01,0.001,2,,0.0,0.0,0.01
57,XOR,1,3,67,[39],0.01,0.001,2,,0.0,0.0,0.01
58,XOR,1,3,68,[88],0.01,0.001,2,,0.0,0.0,0.01
59,XOR,1,3,69,[59],0.01,0.001,2,,0.0,0.0,0.01
60,XOR,1,3,70,[127],0.01,0.001,2,,0.0,0.0,0.01
61,XOR,1,3,72,[86],0.01,0.001,2,,0.0,0.0,0.01
62,XOR,1,3,73,[52],0.01,0.001,2,,0.0,0.0,0.01
63,XOR,1,3,74,[41],0.01,0.001,2,,0.0,0.0,0.01
64,XOR,1,3,75,[87],0.01,0.001,2,,0.0,0.0,0.01
65,XOR,1,3,77,[37],0.01,0.001,2,,0.0,0.0,0.01
66,XOR,1,3,78,[45],0.01,0.001,2,,0.0,0.0,0.01
67,XOR,1,3,80,[13],0.01,0.001,2,,0.0,0.0,0.01
68,XOR,1,3,81,[72],0.01,0.001,2,,0.0,0.0,0.01
69,XOR,1,3,82,[26],0.01,0.001,2,,0.0,0.0,0.01
70,XOR,1,3,84,[85],0.01,0.001,2,,0.0,0.0,0.01
71,XOR,1,3,85,[43],0.01,0.001,2,,0.0,0.0,0.01
72,XOR,1,3,86,[85],0.01,0.001,2,,0.0,0.0,0.01
73,XOR,1,3,87,[50],0.01,0.001,2,,0.0,0.0,0.01
74,XOR,1,3,88,[58],0.01,0.001,2,,0.0,0.0,0.01
75,XOR,1,3,89,[49],0.01,0.001,2,,0.0,0.0,0.01
76,XOR,1,3,90,[125],0.01,0.001,2,,0.0,0.0,0.01
77,XOR,1,3,91,[52],0.01,0.001,2,,0.0,0.0,0.01
78,XOR,1,3,92,[167],0.01,0.001,2,,0.0,0.0,0.01
