,gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
55,XOR,1,3,59,[44],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed59_baseline.json
56,XOR,1,3,61,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed61_baseline.json
57,XOR,1,3,62,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed62_baseline.json
58,XOR,1,3,63,[12],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed63_baseline.json
59,XOR,1,3,64,[24],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed64_baseline.json
60,XOR,1,3,65,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed65_baseline.json
61,XOR,1,3,66,[35],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed66_baseline.json
62,XOR,1,3,67,[57],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed67_baseline.json
63,XOR,1,3,68,[67],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed68_baseline.json
64,XOR,1,3,69,[88],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed69_baseline.json
65,XOR,1,3,70,[158],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed70_baseline.json
66,XOR,1,3,71,[23],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed71_baseline.json
67,XOR,1,3,72,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed72_baseline.json
68,XOR,1,3,73,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed73_baseline.json
69,XOR,1,3,74,[30],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed74_baseline.json
70,XOR,1,3,75,[87],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed75_baseline.json
71,XOR,1,3,77,[42],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed77_baseline.json
72,XOR,1,3,78,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed78_baseline.json
73,XOR,1,3,79,[8],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed79_baseline.json
74,XOR,1,3,80,[13],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed80_baseline.json
75,XOR,1,3,81,[72],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed81_baseline.json
76,XOR,1,3,82,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed82_baseline.json
77,XOR,1,3,84,[45],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed84_baseline.json
78,XOR,1,3,85,[37],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed85_baseline.json
79,XOR,1,3,86,[85],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed86_baseline.json
80,XOR,1,3,87,[52],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed87_baseline.json
81,XOR,1,3,88,[24],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed88_baseline.json
82,XOR,1,3,89,[44],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed89_baseline.json
83,XOR,1,3,90,[14],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed90_baseline.json
84,XOR,1,3,91,[38],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed91_baseline.json
85,XOR,1,3,92,[167],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed92_baseline.json
86,XOR,1,3,93,[77],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed93_baseline.json
87,XOR,1,3,94,[30],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed94_baseline.json
88,XOR,1,3,95,[167],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed95_baseline.json
89,XOR,1,3,96,[74],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed96_baseline.json
90,XOR,1,3,97,[28],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed97_baseline.json
91,XOR,1,3,98,[12],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed98_baseline.json
92,XOR,1,3,99,[22],0.01,0.001,2,,0.0,0.0,0.0,detailed_circuits_seed99_baseline.json
