gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
XOR,1,3,0,[30],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,1,[81],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,3,[52],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,4,[48],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,5,[52],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,6,[42],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,8,[26],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,9,[10],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,10,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,11,[126],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,12,[30],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,15,[112],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,16,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,17,[33],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,18,[37],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,19,[91],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,20,[66],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,21,[26],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,22,[62],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,23,[141],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,24,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,25,[52],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,26,[128],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,27,[29],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,29,[32],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,30,[58],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,32,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,33,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,34,[11],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,35,[57],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,36,[46],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,37,[63],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,38,[26],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,39,[22],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,40,[105],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,41,[52],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,43,[14],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,44,[68],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,45,[48],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,46,[52],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,47,[40],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,48,[38],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,49,[67],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,50,[120],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,54,[52],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,56,[84],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,57,[71],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,58,[128],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,61,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,62,[51],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,63,[32],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,65,[85],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,66,[42],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,67,[33],0.01,0.001,2,,0.0,0.0,0.01
XOR,1,3,68,[87],0.01,0.001,2,,0.0,0.0,0.01
