,gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
0,XOR,1,3,0,[24],0.01,0.001,2,,0.0001,0.0,0.0
1,XOR,1,3,1,[85],0.01,0.001,2,,0.0001,0.0,0.0
2,XOR,1,3,2,[26],0.01,0.001,2,,0.0001,0.0,0.0
3,XOR,1,3,3,[114],0.01,0.001,2,,0.0001,0.0,0.0
4,XOR,1,3,4,[59],0.01,0.001,2,,0.0001,0.0,0.0
5,XOR,1,3,5,[31],0.01,0.001,2,,0.0001,0.0,0.0
6,XOR,1,3,6,[17],0.01,0.001,2,,0.0001,0.0,0.0
7,XOR,1,3,7,[20],0.01,0.001,2,,0.0001,0.0,0.0
8,XOR,1,3,8,[85],0.01,0.001,2,,0.0001,0.0,0.0
9,XOR,1,3,9,[13],0.01,0.001,2,,0.0001,0.0,0.0
10,XOR,1,3,10,[82],0.01,0.001,2,,0.0001,0.0,0.0
11,XOR,1,3,11,[83],0.01,0.001,2,,0.0001,0.0,0.0
12,XOR,1,3,12,[60],0.01,0.001,2,,0.0001,0.0,0.0
13,XOR,1,3,13,[18],0.01,0.001,2,,0.0001,0.0,0.0
14,XOR,1,3,14,[26],0.01,0.001,2,,0.0001,0.0,0.0
15,XOR,1,3,15,[58],0.01,0.001,2,,0.0001,0.0,0.0
16,XOR,1,3,16,[56],0.01,0.001,2,,0.0001,0.0,0.0
17,XOR,1,3,17,[49],0.01,0.001,2,,0.0001,0.0,0.0
18,XOR,1,3,18,[43],0.01,0.001,2,,0.0001,0.0,0.0
19,XOR,1,3,19,[167],0.01,0.001,2,,0.0001,0.0,0.0
20,XOR,1,3,20,[66],0.01,0.001,2,,0.0001,0.0,0.0
21,XOR,1,3,21,[39],0.01,0.001,2,,0.0001,0.0,0.0
22,XOR,1,3,22,[68],0.01,0.001,2,,0.0001,0.0,0.0
23,XOR,1,3,23,[52],0.01,0.001,2,,0.0001,0.0,0.0
24,XOR,1,3,24,[51],0.01,0.001,2,,0.0001,0.0,0.0
25,XOR,1,3,25,[72],0.01,0.001,2,,0.0001,0.0,0.0
26,XOR,1,3,26,[85],0.01,0.001,2,,0.0001,0.0,0.0
27,XOR,1,3,27,[43],0.01,0.001,2,,0.0001,0.0,0.0
28,XOR,1,3,28,[81],0.01,0.001,2,,0.0001,0.0,0.0
29,XOR,1,3,29,[18],0.01,0.001,2,,0.0001,0.0,0.0
30,XOR,1,3,30,[9],0.01,0.001,2,,0.0001,0.0,0.0
31,XOR,1,3,31,[13],0.01,0.001,2,,0.0001,0.0,0.0
32,XOR,1,3,32,[53],0.01,0.001,2,,0.0001,0.0,0.0
33,XOR,1,3,33,[104],0.01,0.001,2,,0.0001,0.0,0.0
34,XOR,1,3,34,[85],0.01,0.001,2,,0.0001,0.0,0.0
35,XOR,1,3,35,[49],0.01,0.001,2,,0.0001,0.0,0.0
36,XOR,1,3,36,[69],0.01,0.001,2,,0.0001,0.0,0.0
37,XOR,1,3,37,[21],0.01,0.001,2,,0.0001,0.0,0.0
38,XOR,1,3,38,[26],0.01,0.001,2,,0.0001,0.0,0.0
39,XOR,1,3,39,[25],0.01,0.001,2,,0.0001,0.0,0.0
40,XOR,1,3,40,[0],0.01,0.001,2,,0.0001,0.0,0.0
41,XOR,1,3,41,[52],0.01,0.001,2,,0.0001,0.0,0.0
42,XOR,1,3,42,[12],0.01,0.001,2,,0.0001,0.0,0.0
43,XOR,1,3,43,[35],0.01,0.001,2,,0.0001,0.0,0.0
44,XOR,1,3,44,[58],0.01,0.001,2,,0.0001,0.0,0.0
45,XOR,1,3,45,[52],0.01,0.001,2,,0.0001,0.0,0.0
46,XOR,1,3,46,[52],0.01,0.001,2,,0.0001,0.0,0.0
47,XOR,1,3,47,[44],0.01,0.001,2,,0.0001,0.0,0.0
48,XOR,1,3,48,[28],0.01,0.001,2,,0.0001,0.0,0.0
49,XOR,1,3,49,[49],0.01,0.001,2,,0.0001,0.0,0.0
50,XOR,1,3,50,[44],0.01,0.001,2,,0.0001,0.0,0.0
51,XOR,1,3,51,[32],0.01,0.001,2,,0.0001,0.0,0.0
52,XOR,1,3,52,[45],0.01,0.001,2,,0.0001,0.0,0.0
53,XOR,1,3,53,[74],0.01,0.001,2,,0.0001,0.0,0.0
54,XOR,1,3,54,[52],0.01,0.001,2,,0.0001,0.0,0.0
55,XOR,1,3,55,[29],0.01,0.001,2,,0.0001,0.0,0.0
56,XOR,1,3,56,[3],0.01,0.001,2,,0.0001,0.0,0.0
57,XOR,1,3,57,[59],0.01,0.001,2,,0.0001,0.0,0.0
58,XOR,1,3,58,[68],0.01,0.001,2,,0.0001,0.0,0.0
59,XOR,1,3,59,[40],0.01,0.001,2,,0.0001,0.0,0.0
60,XOR,1,3,60,[36],0.01,0.001,2,,0.0001,0.0,0.0
61,XOR,1,3,61,[85],0.01,0.001,2,,0.0001,0.0,0.0
62,XOR,1,3,62,[45],0.01,0.001,2,,0.0001,0.0,0.0
63,XOR,1,3,63,[43],0.01,0.001,2,,0.0001,0.0,0.0
