gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
XOR,1,3,0,[103],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,1,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,3,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,6,[24],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,7,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,8,[32],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,9,[72],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,10,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,12,[63],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,14,[26],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,16,[24],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,18,[30],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,19,[26],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,20,[167],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,21,[52],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,22,[30],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,23,[167],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,25,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,28,[92],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,29,[78],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,30,[13],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,31,[32],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,32,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,33,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,37,[52],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,39,[79],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,40,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,42,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,43,[85],0.01,0.001,2,,0.001,0.0,0.0
XOR,1,3,44,[60],0.01,0.001,2,,0.001,0.0,0.0
