gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate
XOR,1,3,0,[36],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,1,[85],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,2,[85],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,3,[115],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,4,[52],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,5,[26],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,6,[10],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,8,[34],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,9,[13],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,10,[36],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,11,[90],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,12,[16],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,14,[26],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,15,[109],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,16,[50],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,17,[37],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,18,[66],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,19,[108],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,20,[50],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,21,[26],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,22,[72],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,23,[26],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,24,[81],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,25,[72],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,26,[130],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,27,[44],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,29,[18],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,30,[12],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,32,[79],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,33,[26],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,34,[0],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,35,[55],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,36,[40],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,37,[28],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,38,[74],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,39,[22],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,40,[16],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,41,[52],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,42,[12],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,43,[35],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,44,[32],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,45,[52],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,46,[52],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,47,[33],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,48,[14],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,50,[120],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,52,[45],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,53,[74],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,54,[52],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,55,[27],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,56,[5],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,57,[60],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,58,[126],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,59,[44],0.01,0.001,2,,0.0,0.0,0.0
XOR,1,3,61,[85],0.01,0.001,2,,0.0,0.0,0.0
