gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
XOR,1,3,0,[30],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed0_dropout_0.01.json
XOR,1,3,1,[90],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed1_dropout_0.01.json
XOR,1,3,2,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed2_dropout_0.01.json
XOR,1,3,3,[50],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed3_dropout_0.01.json
XOR,1,3,4,[48],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed4_dropout_0.01.json
XOR,1,3,5,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed5_dropout_0.01.json
XOR,1,3,6,[40],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed6_dropout_0.01.json
XOR,1,3,7,[72],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed7_dropout_0.01.json
XOR,1,3,8,[34],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed8_dropout_0.01.json
XOR,1,3,9,[10],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed9_dropout_0.01.json
XOR,1,3,10,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed10_dropout_0.01.json
XOR,1,3,11,[97],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed11_dropout_0.01.json
XOR,1,3,12,[30],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed12_dropout_0.01.json
XOR,1,3,13,[101],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed13_dropout_0.01.json
XOR,1,3,14,[72],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed14_dropout_0.01.json
XOR,1,3,15,[107],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed15_dropout_0.01.json
XOR,1,3,16,[47],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed16_dropout_0.01.json
XOR,1,3,17,[33],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed17_dropout_0.01.json
XOR,1,3,18,[32],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed18_dropout_0.01.json
XOR,1,3,19,[81],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed19_dropout_0.01.json
XOR,1,3,20,[66],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed20_dropout_0.01.json
XOR,1,3,21,[26],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed21_dropout_0.01.json
XOR,1,3,22,[44],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed22_dropout_0.01.json
XOR,1,3,23,[141],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed23_dropout_0.01.json
XOR,1,3,24,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed24_dropout_0.01.json
XOR,1,3,25,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed25_dropout_0.01.json
XOR,1,3,26,[128],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed26_dropout_0.01.json
XOR,1,3,27,[27],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed27_dropout_0.01.json
XOR,1,3,28,[58],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed28_dropout_0.01.json
XOR,1,3,29,[30],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed29_dropout_0.01.json
XOR,1,3,30,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed30_dropout_0.01.json
XOR,1,3,32,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed32_dropout_0.01.json
XOR,1,3,33,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed33_dropout_0.01.json
XOR,1,3,34,[12],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed34_dropout_0.01.json
XOR,1,3,35,[57],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed35_dropout_0.01.json
XOR,1,3,36,[50],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed36_dropout_0.01.json
XOR,1,3,37,[63],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed37_dropout_0.01.json
XOR,1,3,38,[26],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed38_dropout_0.01.json
XOR,1,3,39,[20],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed39_dropout_0.01.json
XOR,1,3,40,[158],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed40_dropout_0.01.json
XOR,1,3,41,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed41_dropout_0.01.json
XOR,1,3,42,[23],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed42_dropout_0.01.json
XOR,1,3,43,[14],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed43_dropout_0.01.json
XOR,1,3,44,[68],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed44_dropout_0.01.json
XOR,1,3,45,[50],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed45_dropout_0.01.json
XOR,1,3,46,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed46_dropout_0.01.json
XOR,1,3,47,[40],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed47_dropout_0.01.json
XOR,1,3,48,[38],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed48_dropout_0.01.json
XOR,1,3,49,[67],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed49_dropout_0.01.json
XOR,1,3,50,[115],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed50_dropout_0.01.json
XOR,1,3,51,[32],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed51_dropout_0.01.json
XOR,1,3,52,[37],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed52_dropout_0.01.json
XOR,1,3,53,[72],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed53_dropout_0.01.json
XOR,1,3,54,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed54_dropout_0.01.json
XOR,1,3,55,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed55_dropout_0.01.json
XOR,1,3,56,[314],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed56_dropout_0.01.json
XOR,1,3,57,[78],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed57_dropout_0.01.json
XOR,1,3,58,[130],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed58_dropout_0.01.json
XOR,1,3,59,[70],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed59_dropout_0.01.json
XOR,1,3,60,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed60_dropout_0.01.json
XOR,1,3,61,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed61_dropout_0.01.json
XOR,1,3,62,[49],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed62_dropout_0.01.json
XOR,1,3,63,[102],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed63_dropout_0.01.json
XOR,1,3,64,[45],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed64_dropout_0.01.json
XOR,1,3,65,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed65_dropout_0.01.json
XOR,1,3,66,[42],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed66_dropout_0.01.json
XOR,1,3,67,[43],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed67_dropout_0.01.json
XOR,1,3,68,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed68_dropout_0.01.json
XOR,1,3,69,[59],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed69_dropout_0.01.json
XOR,1,3,70,[109],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed70_dropout_0.01.json
XOR,1,3,71,[34],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed71_dropout_0.01.json
XOR,1,3,72,[89],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed72_dropout_0.01.json
XOR,1,3,73,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed73_dropout_0.01.json
